,name,categories,review_count,rating,address,zipcode,city,coordinates,phone,transactions
0,Lim's Health Food Center,"[{'alias': 'healthmarkets', 'title': 'Health Markets'}, {'alias': 'vitaminssupplements', 'title': 'Vitamins & Supplements'}]",10,4.5,"['403 Cottage Grove Rd', 'Bloomfield, CT 06002']",06002,Bloomfield,"{'latitude': 41.8170974, 'longitude': -72.7161322}",(860) 243-3679,[]
1,The Sweet Beet,"[{'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegan', 'title': 'Vegan'}]",42,4.5,"['498 Salmon Brook St', 'Granby, CT 06035']",06035,Granby,"{'latitude': 41.9845923, 'longitude': -72.8007123}",(860) 653-2338,[]
2,Flora,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",322,4.5,"['45 Raymond Rd', 'Fl 2nd', 'West Hartford, CT 06107']",06107,West Hartford,"{'latitude': 41.760954, 'longitude': -72.739664}",(860) 216-5992,"['restaurant_reservation', 'delivery', 'pickup']"
3,Pulse Cafe,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'burgers', 'title': 'Burgers'}]",159,4.5,"['270 Russell St', 'Hadley, MA 01035']",01035,Hadley,"{'latitude': 42.35145973207578, 'longitude': -72.56684434875656}",(413) 387-0555,['delivery']
4,Big Y at Fresh Acres,"[{'alias': 'grocery', 'title': 'Grocery'}]",40,4.0,"['1941 Wilbraham Rd', 'Springfield, MA 01129']",01129,Springfield,"{'latitude': 42.113887459872686, 'longitude': -72.49744217808404}",(413) 783-9141,[]
5,Trader Joe's,"[{'alias': 'grocery', 'title': 'Grocery'}]",31,4.0,"['1510 Pleasant Valley Rd', 'Manchester, CT 06042']",06042,Manchester,"{'latitude': 41.8050095, 'longitude': -72.5593943}",(860) 644-3182,[]
6,River Valley Co-op,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'organic_stores', 'title': 'Organic Stores'}]",59,4.0,"['330 N King St', 'Northampton, MA 01060']",01060,Northampton,"{'latitude': 42.347127, 'longitude': -72.643039}",(413) 584-2665,[]
7,Big Y World Class Market,"[{'alias': 'grocery', 'title': 'Grocery'}]",3,4.0,"['1 E Silver St', 'Westfield, MA 01085']",01085,Westfield,"{'latitude': 42.1124024, 'longitude': -72.746921}",(413) 568-1001,['delivery']
8,ALDI,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'markets', 'title': 'Fruits & Veggies'}, {'alias': 'organic_stores', 'title': 'Organic Stores'}]",9,4.0,"['1284 Boston Rd', 'Springfield, MA 01119']",01119,Springfield,"{'latitude': 42.1411818, 'longitude': -72.5010474}",(855) 955-2534,[]
9,Cornucopia Natural Wellness Market,"[{'alias': 'healthmarkets', 'title': 'Health Markets'}, {'alias': 'markets', 'title': 'Fruits & Veggies'}]",15,4.5,"['150 Main St', 'Ste 8', 'Northampton, MA 01060']",01060,Northampton,"{'latitude': 42.3181819, 'longitude': -72.6306953}",(413) 586-3800,[]
10,Trader Joe's,"[{'alias': 'grocery', 'title': 'Grocery'}]",42,4.0,"['375 Russell St', 'Hadley, MA 01035']",01035,Hadley,"{'latitude': 42.358222, 'longitude': -72.5495308}",(413) 587-3260,[]
11,Deals & Steals,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'vitaminssupplements', 'title': 'Vitamins & Supplements'}]",29,4.5,"['1 Pearl St', 'Northampton, MA 01060']",01060,Northampton,"{'latitude': 42.3183081, 'longitude': -72.6274036}",(413) 586-0326,[]
12,Highland Park Market,"[{'alias': 'grocery', 'title': 'Grocery'}]",17,3.5,"['68 Bridge St', 'Suffield, CT 06078']",06078,Suffield,"{'latitude': 41.98199, 'longitude': -72.64905}",(860) 668-9660,[]
13,Jem's Gardens & Dairy Barn,"[{'alias': 'markets', 'title': 'Fruits & Veggies'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",46,4.5,"['1062 Pleasant Valley Rd', 'South Windsor, CT 06074']",06074,South Windsor,"{'latitude': 41.808581, 'longitude': -72.576728}",(860) 550-4652,['delivery']
15,River Valley Co-op,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'organic_stores', 'title': 'Organic Stores'}]",1,5.0,"['228 Northampton St', 'Easthampton, MA 01027']",01027,Easthampton,"{'latitude': 42.2873446, 'longitude': -72.66403869748707}",(413) 529-4990,[]
16,Enfield Produce,"[{'alias': 'grocery', 'title': 'Grocery'}]",8,4.0,"['565 Enfield St', 'Enfield, CT 06082']",06082,Enfield,"{'latitude': 42.00865131400341, 'longitude': -72.59278710429845}",(860) 745-7731,[]
17,Big Y,"[{'alias': 'grocery', 'title': 'Grocery'}]",15,3.0,"['503 Memorial Ave', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.09447781, 'longitude': -72.60426965}",(413) 746-0999,[]
18,Randall's Farm,"[{'alias': 'markets', 'title': 'Fruits & Veggies'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",56,4.0,"['631 Center St', 'Ludlow, MA 01056']",01056,Ludlow,"{'latitude': 42.17961, 'longitude': -72.4728}",(413) 589-7071,['delivery']
19,Coventry Farmers' Market,"[{'alias': 'farmersmarket', 'title': 'Farmers Market'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]",70,4.5,"['2299 South St', 'Nathan Hale Homestead', 'Coventry, CT 06238']",06238,Coventry,"{'latitude': 41.763452, 'longitude': -72.345773}",(860) 742-4062,[]
20,Whole Foods Market,"[{'alias': 'grocery', 'title': 'Grocery'}]",55,3.5,"['327 Russell St', 'Hadley, MA 01035']",01035,Hadley,"{'latitude': 42.353265, 'longitude': -72.55537}",(413) 586-9932,[]
21,Paul & Elizabeth's,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'soup', 'title': 'Soup'}]",282,4.0,"['150 Main St', 'Northampton, MA 01060']",01060,Northampton,"{'latitude': 42.31834, 'longitude': -72.63117}",(413) 584-4832,"['delivery', 'pickup']"
22,Pure Love Bakery,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegan', 'title': 'Vegan'}]",37,4.5,"['136 Simsbury Rd', 'Ste 16', 'Avon, CT 06001']",06001,Avon,"{'latitude': 41.8189778, 'longitude': -72.8293672}",(860) 409-0302,['delivery']
23,ShopRite of Canton,"[{'alias': 'grocery', 'title': 'Grocery'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'delis', 'title': 'Delis'}]",28,3.5,"['110 Albany Turnpike', 'Ste 200', 'Canton, CT 06019']",06019,Canton,"{'latitude': 41.8224465, 'longitude': -72.8829132}",(860) 693-3666,[]
24,Whole Foods Market,"[{'alias': 'grocery', 'title': 'Grocery'}]",53,3.5,"['340 N Main St', 'West Hartford, CT 06117']",06117,West Hartford,"{'latitude': 41.784729, 'longitude': -72.745477}",(860) 523-7174,[]
