,name,categories,review_count,rating,address,zipcode,city,coordinates,phone,transactions
0,Flame On Vegan,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",6,4.5,"['365 Walnut St Ext', 'Agawam, MA 01001']",01001,Agawam,"{'latitude': 42.087715, 'longitude': -72.629147}",(413) 222-4150,"['pickup', 'delivery']"
1,Garden of Eat'n,"[{'alias': 'vegan', 'title': 'Vegan'}]",14,4.5,"['439 White St', 'Springfield, MA 01108']",01108,Springfield,"{'latitude': 42.0880809935659, 'longitude': -72.5497425796089}",(413) 233-7216,['delivery']
2,Janna Mediterranean Grill & Juice Bar,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'lebanese', 'title': 'Lebanese'}]",60,4.0,"['751 Union St', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.09891, 'longitude': -72.60855}",(413) 273-7272,"['pickup', 'delivery']"
3,Macho Taco,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",126,4.5,"['67 Springfield St', 'Agawam, MA 01001']",01001,Agawam,"{'latitude': 42.0895051537608, 'longitude': -72.6303144823267}",(413) 285-7060,"['pickup', 'delivery']"
4,Auntie Cathie's Kitchen,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]",93,4.0,"['159 Main St', 'Agawam, MA 01001']",01001,Agawam,"{'latitude': 42.08673, 'longitude': -72.62078}",(413) 788-0022,[]
5,Lattitude Restaurant,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'catering', 'title': 'Caterers'}]",243,4.0,"['1338 Memorial Ave', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.0929948581104, 'longitude': -72.6200693576235}",(413) 241-8888,['delivery']
6,Nosh Restaurant and Cafè,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'desserts', 'title': 'Desserts'}]",29,5.0,"['1341 Main St', 'Springfield, MA 01103']",01103,Springfield,"{'latitude': 42.1022, 'longitude': -72.58899}",(413) 237-1822,['delivery']
7,Crepes Tea House,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'creperies', 'title': 'Creperies'}]",356,4.5,"['261 Union St', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.1025529, 'longitude': -72.6165117}",(413) 304-2052,"['pickup', 'delivery']"
8,Revitalize Superfoods,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'healthmarkets', 'title': 'Health Markets'}]",9,5.0,"['1500 Main St', 'Tower Square', 'Springfield, MA 01115']",01115,Springfield,"{'latitude': 42.102403, 'longitude': -72.591866}",(413) 363-1187,"['pickup', 'delivery']"
9,Nadim's Downtown Mediterranean Grill,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'lebanese', 'title': 'Lebanese'}]",229,4.0,"['1390 Main St', 'Springfield, MA 01103']",01103,Springfield,"{'latitude': 42.10229, 'longitude': -72.59}",(413) 737-7373,"['pickup', 'restaurant_reservation', 'delivery']"
10,JUGUITOS,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",1,5.0,"['112 State St', 'Springfield, MA 01103']",01103,Springfield,"{'latitude': 42.10071, 'longitude': -72.58761}",(413) 363-2985,"['pickup', 'delivery']"
11,Clemenza’s Brick Oven,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",16,4.0,"['816 Westfield St', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.103856, 'longitude': -72.637456}",(413) 417-7544,['delivery']
12,Coco Thai Kitchen,"[{'alias': 'thai', 'title': 'Thai'}]",109,4.0,"['801 Thompsonville Rd', 'Suffield, CT 06078']",06078,Suffield,"{'latitude': 41.9968071, 'longitude': -72.6139069}",(860) 758-7557,"['pickup', 'delivery']"
13,Panjabi Tadka,"[{'alias': 'indpak', 'title': 'Indian'}]",125,4.0,"['1688 Main St', 'Springfield, MA 01103']",01103,Springfield,"{'latitude': 42.10444592769, 'longitude': -72.5946414470673}",(413) 732-1453,"['pickup', 'delivery']"
14,Ahalna Foods,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",10,4.5,"['909 Main St', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.098997834957565, 'longitude': -72.60354053268496}",(413) 316-8428,"['pickup', 'delivery']"
15,Taste of Lebanon,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'lebanese', 'title': 'Lebanese'}]",326,4.5,"['553 Main St', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.101960878125794, 'longitude': -72.60881578247982}",(413) 363-0414,"['pickup', 'delivery']"
16,Joy Bowl,"[{'alias': 'poke', 'title': 'Poke'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",117,5.0,"['455 Breckwood Blvd', 'A', 'Springfield, MA 01109']",01109,Springfield,"{'latitude': 42.1171398, 'longitude': -72.5239512}",(413) 455-1280,"['pickup', 'delivery']"
17,Plan B Burger Bar,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",453,3.5,"['1000 W Columbus Ave', 'Springfield, MA 01105']",01105,Springfield,"{'latitude': 42.09416523805506, 'longitude': -72.58517244320437}",(413) 285-8296,['delivery']
18,Bamboo House,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",90,4.5,"['676 Belmont Ave', 'Springfield, MA 01108']",01108,Springfield,"{'latitude': 42.0851968, 'longitude': -72.5532552}",(413) 732-0741,['delivery']
19,Moolicious Ice Cream,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'burgers', 'title': 'Burgers'}]",27,4.0,"['258 Feedinghills Rd', 'Southwick, MA 01077']",01077,Southwick,"{'latitude': 42.0637190557264, 'longitude': -72.7198791503906}",(413) 569-1700,['delivery']
20,The Magic Blend,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",11,4.0,"['1325 Springfield St', 'Ste 8', 'Agawam, MA 01001']",01001,Agawam,"{'latitude': 42.066471, 'longitude': -72.675722}",(413) 363-2327,"['pickup', 'delivery']"
21,Family Nepali and Indian Cuisine,"[{'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}, {'alias': 'indpak', 'title': 'Indian'}]",23,4.5,"['977 A Main St', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.09846461576522, 'longitude': -72.60235095383106}",(413) 285-8706,"['pickup', 'delivery']"
22,Max Burger,"[{'alias': 'burgers', 'title': 'Burgers'}]",288,4.0,"['684 Bliss Rd', 'Longmeadow, MA 01106']",01106,Longmeadow,"{'latitude': 42.0569045553503, 'longitude': -72.5554972887039}",(413) 798-0101,"['pickup', 'delivery']"
23,On The Border Mexican Grill & Cantina,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",128,3.5,"['33 Border Way', 'West Springfield, MA 01089']",01089,West Springfield,"{'latitude': 42.137509, 'longitude': -72.627215}",(413) 304-3500,"['pickup', 'delivery']"
24,Moctezuma's Mexican Restaurant,"[{'alias': 'mexican', 'title': 'Mexican'}]",91,4.5,"['684 Belmont Ave', 'Springfield, MA 01108']",01108,Springfield,"{'latitude': 42.0852405, 'longitude': -72.5529348}",(413) 317-7977,"['pickup', 'delivery']"
25,Hot Table,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]",78,4.0,"['1500 Main St', 'Springfield, MA 01103']",01103,Springfield,"{'latitude': 42.102816, 'longitude': -72.592177}",(413) 731-1200,"['pickup', 'delivery']"
26,Posto Italian,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",87,4.0,"['674 Bliss Rd', 'Longmeadow, MA 01106']",01106,Longmeadow,"{'latitude': 42.057313, 'longitude': -72.555929}",(413) 935-8500,['delivery']
