,name,review_count,rating,address,zipcode,city,coordinates,phone,lat,lng,category
0,Lim's Health Food Center,10,4.5,"'403 Cottage Grove Rd', 'Bloomfield, CT 06002'",06002,Bloomfield,"{'latitude': 41.8170974, 'longitude': -72.7161322}",(860) 243-3679,41.8170974,-72.7161322,Grocery Store
1,The Sweet Beet,42,4.5,"'498 Salmon Brook St', 'Granby, CT 06035'",06035,Granby,"{'latitude': 41.9845923, 'longitude': -72.8007123}",(860) 653-2338,41.9845923,-72.8007123,Grocery Store
2,Flora,322,4.5,"'45 Raymond Rd', 'Fl 2nd', 'West Hartford, CT 06107'",06107,West Hartford,"{'latitude': 41.760954, 'longitude': -72.739664}",(860) 216-5992,41.760954,-72.739664,Grocery Store
3,Pulse Cafe,159,4.5,"'270 Russell St', 'Hadley, MA 01035'",01035,Hadley,"{'latitude': 42.35145973207578, 'longitude': -72.56684434875656}",(413) 387-0555,42.35145973207578,-72.56684434875656,Grocery Store
4,Big Y at Fresh Acres,40,4.0,"'1941 Wilbraham Rd', 'Springfield, MA 01129'",01129,Springfield,"{'latitude': 42.113887459872686, 'longitude': -72.49744217808404}",(413) 783-9141,42.113887459872686,-72.49744217808404,Grocery Store
5,Trader Joe's,31,4.0,"'1510 Pleasant Valley Rd', 'Manchester, CT 06042'",06042,Manchester,"{'latitude': 41.8050095, 'longitude': -72.5593943}",(860) 644-3182,41.8050095,-72.5593943,Grocery Store
6,River Valley Co-op,59,4.0,"'330 N King St', 'Northampton, MA 01060'",01060,Northampton,"{'latitude': 42.347127, 'longitude': -72.643039}",(413) 584-2665,42.347127,-72.643039,Grocery Store
7,Big Y World Class Market,3,4.0,"'1 E Silver St', 'Westfield, MA 01085'",01085,Westfield,"{'latitude': 42.1124024, 'longitude': -72.746921}",(413) 568-1001,42.1124024,-72.746921,Grocery Store
8,ALDI,9,4.0,"'1284 Boston Rd', 'Springfield, MA 01119'",01119,Springfield,"{'latitude': 42.1411818, 'longitude': -72.5010474}",(855) 955-2534,42.1411818,-72.5010474,Grocery Store
9,Cornucopia Natural Wellness Market,15,4.5,"'150 Main St', 'Ste 8', 'Northampton, MA 01060'",01060,Northampton,"{'latitude': 42.3181819, 'longitude': -72.6306953}",(413) 586-3800,42.3181819,-72.6306953,Grocery Store
10,Trader Joe's,42,4.0,"'375 Russell St', 'Hadley, MA 01035'",01035,Hadley,"{'latitude': 42.358222, 'longitude': -72.5495308}",(413) 587-3260,42.358222,-72.5495308,Grocery Store
11,Deals & Steals,29,4.5,"'1 Pearl St', 'Northampton, MA 01060'",01060,Northampton,"{'latitude': 42.3183081, 'longitude': -72.6274036}",(413) 586-0326,42.3183081,-72.6274036,Grocery Store
12,Highland Park Market,17,3.5,"'68 Bridge St', 'Suffield, CT 06078'",06078,Suffield,"{'latitude': 41.98199, 'longitude': -72.64905}",(860) 668-9660,41.98199,-72.64905,Grocery Store
13,Jem's Gardens & Dairy Barn,46,4.5,"'1062 Pleasant Valley Rd', 'South Windsor, CT 06074'",06074,South Windsor,"{'latitude': 41.808581, 'longitude': -72.576728}",(860) 550-4652,41.808581,-72.576728,Grocery Store
14,River Valley Co-op,1,5.0,"'228 Northampton St', 'Easthampton, MA 01027'",01027,Easthampton,"{'latitude': 42.2873446, 'longitude': -72.66403869748707}",(413) 529-4990,42.2873446,-72.66403869748707,Grocery Store
15,Enfield Produce,8,4.0,"'565 Enfield St', 'Enfield, CT 06082'",06082,Enfield,"{'latitude': 42.00865131400341, 'longitude': -72.59278710429845}",(860) 745-7731,42.00865131400341,-72.59278710429845,Grocery Store
16,Big Y,15,3.0,"'503 Memorial Ave', 'West Springfield, MA 01089'",01089,West Springfield,"{'latitude': 42.09447781, 'longitude': -72.60426965}",(413) 746-0999,42.09447781,-72.60426965,Grocery Store
17,Randall's Farm,56,4.0,"'631 Center St', 'Ludlow, MA 01056'",01056,Ludlow,"{'latitude': 42.17961, 'longitude': -72.4728}",(413) 589-7071,42.17961,-72.4728,Grocery Store
18,Coventry Farmers' Market,70,4.5,"'2299 South St', 'Nathan Hale Homestead', 'Coventry, CT 06238'",06238,Coventry,"{'latitude': 41.763452, 'longitude': -72.345773}",(860) 742-4062,41.763452,-72.345773,Grocery Store
19,Whole Foods Market,55,3.5,"'327 Russell St', 'Hadley, MA 01035'",01035,Hadley,"{'latitude': 42.353265, 'longitude': -72.55537}",(413) 586-9932,42.353265,-72.55537,Grocery Store
